PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUBCATEGORY,BRAND,UNIT_PRICE,STATUS,UPDATED_AT
P1414,,Electronics,Accessories,Logi,350.1,INACTIVE,2024-04-29 06:00:22.286983
P1243,Fruits_Product_146,Groceries,Fruits,Puma,9087.99,ACTIVE,2024-07-06 08:42:07.286983
P1039,Chairs_Product_43,Furniture,Chairs,SoundMax,1371.1,ACTIVE,2024-09-21 00:49:13.286983
P1365,Computers_Product_27,Electronics,Computers,Levi,39852.55,INACTIVE,2023-10-08 15:13:24.286983
P1368,Fruits_Product_26,Groceries,Fruits,SoundMax,24432.84,INACTIVE,2025-11-22 23:01:34.286983
P1120,Computers_Product_56,Electronics,Computers,Puma,22552.12,INACTIVE,2025-07-02 09:34:13.286983
P1014,Mens_Product_48,Clothing,Mens,Zen,7582.89,ACTIVE,2023-04-20 05:17:01.286983
P1251,Mens_Product_84,Clothing,Mens,Ikea,23662.09,INACTIVE,2023-11-30 08:57:33.286983
P1468,Womens_Product_120,Clothing,Womens,Dell,6913.04,ACTIVE,2025-03-15 18:18:28.286983
P1182,Footwear_Product_171,Clothing,Footwear,SoundMax,32803.73,ACTIVE,2024-02-29 12:42:52.286983
P1439,Mobiles_Product_147,Electronics,Mobiles,Dell,3661.5,INACTIVE,2023-06-01 16:29:46.286983
P1122,Fruits_Product_1,Groceries,Fruits,Zen,18738.46,ACTIVE,2023-04-14 01:59:24.286983
P1073,Mobiles_Product_54,Electronics,Mobiles,Zen,3018.08,INACTIVE,2024-09-27 01:45:39.286983
P1164,Mens_Product_122,Clothing,Mens,Dell,369.91,ACTIVE,2025-01-23 00:44:52.286983
P1461,Beds_Product_114,Furniture,Beds,Levi,39352.84,ACTIVE,2025-02-07 07:22:12.286983
P1262,Footwear_Product_118,Clothing,Footwear,SoundMax,488.06,INACTIVE,2025-03-22 05:31:03.286983
P1427,Mobiles_Product_47,Electronics,Mobiles,Zen,40704.8,ACTIVE,2025-07-21 21:53:10.286983
P1297,Accessories_Product_102,Electronics,Accessories,HP,44891.2,ACTIVE,2023-11-27 02:55:58.286983
P1487,Fruits_Product_81,Groceries,Fruits,Levi,49727.62,ACTIVE,2025-07-30 23:40:56.286983
P1348,Fruits_Product_53,Groceries,Fruits,Levi,16337.86,INACTIVE,2025-06-20 05:12:21.286983
P1112,Beds_Product_62,Furniture,Beds,SoundMax,44835.98,BAD_STATUS,2025-08-28 04:37:42.286983
P1063,Beds_Product_175,Furniture,Beds,Ikea,2135.46,INACTIVE,2025-07-29 02:12:25.286983
P1185,Chairs_Product_46,Furniture,Chairs,HP,13987.6,ACTIVE,2024-10-25 10:38:51.286983
P1231,Mens_Product_7,Clothing,Mens,Zen,19859.32,ACTIVE,2025-02-28 16:25:11.286983
P1497,Tables_Product_48,Furniture,Tables,Ikea,4504.27,INACTIVE,2024-10-03 06:06:47.286983
