ORDER_ID,ORDER_LINE_ID,ORDER_DATE,CUSTOMER_ID,PRODUCT_ID,STORE_ID,QTY,UNIT_PRICE,DISCOUNT_PCT,PAYMENT_TYPE,ORDER_STATUS
O9001,5,2025-12-15,C0797,P1130,S003,2,1499,0,NETBANKING,COMPLETED
O9002,3,2024-11-25,C1374,P1138,S025,4,899,-5,NETBANKING,CANCELLED
O9002,3,2026-08-24,C0157,P1063,S048,8,199,25,123,COMPLETED
O9002,3,2026-06-13,C1515,P1147,S045,8,99,,CASH,CANCELLED
O9002,2,2026-12-01,C1375,P1161,S016,3,49,10,CARD,PENDING
O9002,2,2026-05-05,C1793,P1189,S050,2,899,20,NETBANKING,COMPLETED
O9002,3,2025-05-08,C0946,P1174,S043,6,49,0,CARD,CANCELLED
O9002,2,2026-11-26,C1829,P1188,S048,2,899,5,CRD,COMPLETED
O9002,2,2025-10-16,C0587,P1044,S030,7,1499,10,UPI,PENDING
O9002,2,2024-04-27,C0022,P1107,S035,3,2999,20,CARD,PENDING
O9002,3,2024-06-30,C0629,P1158,S008,4,199,,CASH,CANCELLED
O9002,2,2024-07-19,C0541,P1131,S047,5,49,20,CASH,RETURNED
O9003,5,2024-09-21,C1515,P1039,S021,5,1499,10,NETBANKING,RETURNED
O9004,5,2026-09-06,C1022,P1157,S004,5,4999,10,CASH,CANCELLED
O9004,5,2026-08-20,C0107,P1082,S021,4,49,,NETBANKING,PENDING
O9005,2,2025-07-19,C0907,P1009,S026,1,9999,15,CARD,CANCELLED
O9006,5,2025-06-16,C1198,P1047,S034,1,1499,10,CARD,RETURNED
O9006,2,2026-05-24,C1663,P1166,S007,5,9999,20,CARD,PENDING
O9006,1,2025-06-15,C0777,P1019,S007,1,4999,0,CASH,RETURNED
O9006,4,2025-05-23,C0107,P1175,S016,6,199,10,CASH,COMPLETED
O9006,1,2024-04-19,C0590,P1189,S050,2,9999,15,CARD,PENDING
O9006,5,2025-06-28,C0220,P1178,S041,4,99,25,CARD,COMPLETED
O9007,2,2025-01-24,C1849,P1133,S048,10,899,10,CARD,CANCELLED
O9007,2,2026-03-26,C1971,P1092,S040,5,199,20,CASH,COMPLETED
O9008,4,2025-09-25,C0498,P1025,S037,7,4999,10,NETBANKING,PENDING
O9008,4,2025-09-01,C1894,P1160,S034,1,49,20,UPI,COMPLETED
O9008,5,2026-12-16,C0856,P1191,S012,6,199,NA,UPI,CANCELLED
O9008,5,2024-02-18,C1166,P1009,S019,5,499,0,,COMPLETED
O9008,1,2025-05-26,C0771,P1030,S014,10,199,10,CARD,CANCELLED
O9008,2,2026-01-02,C0859,P1186,S002,9,19999,15,UPI,PENDING
O9009,2,2024-07-06,C0688,P1113,S044,3,99,5,,PENDING
O9009,5,2026-09-27,C0653,P1196,S024,9,49,,NETBANKING,CANCELLED
O9010,4,2026-03-24,C0918,P1139,S013,10,4999,0,NETBANKING,RETURNED
O9011,2,2024-03-04,C1090,P1135,S012,5,2999,5,,COMPLETED
O9012,5,2024-07-05,C0099,P1060,S017,9,4999,15,123,RETURNED
O9012,1,2025-07-07,C1810,P1068,S026,1,2999,25,CARD,CANCELLED
O9012,1,2026-10-05,C0957,P1130,S004,3,199,10,CARD,CANCELLED
O9013,2,2024-11-24,C1061,P1097,S017,8,99,25,CARD,PENDING
O9014,5,2024-05-05,C1165,P1078,S037,2,9999,,CASH,PENDING
O9015,5,2026-10-10,C0531,P1102,S012,8,4999,0,,CANCELLED
O9015,4,2026-12-14,C0590,P1069,S035,1,499,20,UPI,RETURNED
O9015,1,2024-11-27,C1825,P1137,S007,6,2999,10,UPI,PENDING
O9016,5,2025-11-23,C1416,P1183,S014,2,499,-5,CRD,CANCELLED
O9017,5,2024-05-20,C0806,P1171,S004,10,19999,20,CASH,CANCELLED
O9017,4,2024-06-08,C1188,P1052,S034,7,19999,-5,NETBANKING,RETURNED
