STORE_ID,STORE_NAME,REGION,CITY,STATE,COUNTRY,OPEN_DATE,STATUS
S0001,,,Indore,MH,India,2022-11-09,CLOSED
,Store_2,,Hyderabad,RJ,India,2023-04-01,RENOVATION
S0003,,WEST,,KL,India,2022-01-26,RENOVATION
S0004,,NORTH,Delhi,KA,,2023-02-25,CLOSED
S0005,,SOUTH,Chennai,MH,India,,CLOSED
S0006,Store_6,EAST,Mumbai,,India,2024-07-21,
S0007,Store_7,,Jaipur,MH,,2021-11-16,RENOVATION
S0008,Store_8,NORTH,,MP,India,,CLOSED
S0009,Store_9,NORTH,Pune,KA,,2021-02-22,
,,NORTH,Chennai,RJ,India,2022-10-28,OPEN
S0011,Store_11,WEST,,KA,India,2022-01-05,
S0012,Store_12,,Jaipur,RJ,India,,OPEN
,Store_13,WEST,,KA,India,2023-05-05,CLOSED
S0014,Store_14,EAST,Chennai,,India,2021-03-07,
S0015,Store_15,,Delhi,,India,2024-03-21,OPEN
S0016,Store_16,NORTH,Indore,,India,,CLOSED
S0017,Store_17,CENTRAL,Hyderabad,,India,,RENOVATION
S0018,Store_18,EAST,,TN,,2024-06-13,CLOSED
S0019,,CENTRAL,Pune,TS,India,2021-12-20,
S0020,Store_20,WEST,Delhi,TN,,2021-09-08,
S0021,Store_21,,Jaipur,RJ,India,2025-10-01,
S0022,Store_22,,,KA,India,2022-06-04,RENOVATION
S0023,Store_23,WEST,,WB,India,,CLOSED
S0024,Store_24,WEST,Jaipur,KA,,2023-02-23,
S0025,Store_25,SOUTH,Pune,RJ,India,,
S0026,,SOUTH,Bengaluru,TS,India,,OPEN
S0027,Store_27,,Indore,,India,2024-05-14,RENOVATION
S0028,Store_28,NORTH,,MP,,2022-06-28,CLOSED
S0029,,WEST,Indore,KL,India,,CLOSED
,Store_30,,Bengaluru,KA,India,2024-01-26,RENOVATION
S0031,,WEST,,WB,India,2022-04-07,OPEN
,Store_32,SOUTH,Hyderabad,MH,India,2025-07-20,
S0033,Store_33,,Jaipur,DL,India,2024-04-25,
S0034,,NORTH,Delhi,DL,India,,CLOSED
,,EAST,Kolkata,TS,India,2025-01-12,RENOVATION
S0036,Store_36,SOUTH,,RJ,,2024-01-18,RENOVATION
S0037,Store_37,NORTH,Indore,,India,,RENOVATION
,,NORTH,Mumbai,MH,India,2022-02-18,OPEN
S0039,Store_39,,Delhi,DL,India,,RENOVATION
,Store_40,CENTRAL,Jaipur,,India,2025-04-06,OPEN
,Store_41,WEST,Indore,,India,2024-08-12,CLOSED
,Store_42,EAST,Jaipur,TS,India,,CLOSED
S0043,,WEST,Kolkata,DL,,2025-02-02,RENOVATION
S0044,Store_44,SOUTH,Bengaluru,,India,,RENOVATION
S0045,,CENTRAL,Mumbai,WB,India,,OPEN
,Store_46,SOUTH,Kochi,,India,2022-11-08,CLOSED
,Store_47,SOUTH,Jaipur,RJ,,2024-05-26,RENOVATION
S0048,Store_48,NORTH,,KA,,2024-08-12,CLOSED
S0049,,,Chennai,RJ,India,2025-06-24,RENOVATION
,Store_50,SOUTH,Hyderabad,WB,India,,RENOVATION
S0051,Store_51,,Kochi,KL,India,,CLOSED
S0052,Store_52,,,TN,India,2024-02-05,OPEN
S0053,,WEST,Indore,,India,2023-11-24,RENOVATION
S0054,Store_54,NORTH,,WB,India,,RENOVATION
,Store_55,NORTH,Hyderabad,MH,,2022-04-05,OPEN
S0056,Store_56,EAST,Bengaluru,,India,2023-10-27,
S0057,Store_57,SOUTH,Pune,TS,,,CLOSED
S0058,Store_58,CENTRAL,Delhi,,,2022-06-01,RENOVATION
S0059,Store_59,WEST,,TN,India,2022-12-19,
S0060,Store_60,,Bengaluru,MP,India,,RENOVATION
S0061,Store_61,SOUTH,Delhi,KA,,,CLOSED
S0062,Store_62,WEST,,WB,India,,CLOSED
S0063,Store_63,,,RJ,India,2023-01-04,RENOVATION
S0064,Store_64,CENTRAL,,,India,2022-10-15,OPEN
,Store_65,WEST,Delhi,,India,2023-01-29,OPEN
S0066,Store_66,WEST,Mumbai,MH,,2024-07-24,
,Store_67,WEST,Bengaluru,MH,India,,CLOSED
S0068,Store_68,EAST,Indore,,India,2025-06-01,
S0069,Store_69,EAST,,TS,,2021-12-29,OPEN
S0070,Store_70,,Hyderabad,,India,2021-10-22,CLOSED
